Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Anton Stralman,TB,D,11,1,2,3,2,2,7,0,0,1,0,0,20,19
Troy Brouwer,FLA,RW,9,1,1,2,-2,4,6,0,0,0,0,0,16,6
Jonathan Ericsson,DET,D,5,1,0,1,1,6,8,1,0,0,0,0,10,5
Jake Gardiner,TOR,D,12,1,6,7,0,0,11,0,0,1,0,0,18,10
Tyler Ennis,TOR,LW,9,1,1,2,-2,0,11,0,0,0,0,0,6,3
Oliver Ekman-Larsson,ARI,D,11,1,5,6,5,10,28,0,1,0,0,0,26,8
Zack Kassian,EDM,RW,8,1,0,1,-3,7,5,0,0,0,0,0,24,2
Marco Scandella,BUF,D,12,1,1,2,-3,8,18,1,0,0,0,0,12,13
Mark Barberio,COL,D,3,1,0,1,-2,0,2,0,0,0,0,0,2,1
Erik Haula,VGK,C,12,1,3,4,-2,8,21,0,0,1,0,0,11,4
Marcus Johansson,NJ,LW,8,1,1,2,-2,4,15,0,0,1,0,0,3,2
Travis Hamonic,CGY,D,5,1,0,1,0,5,7,0,0,0,0,0,8,12
Kyle Clifford,LA,LW,9,1,0,1,-1,21,5,0,0,0,0,0,20,0
Alec Martinez,LA,D,11,1,2,3,-5,2,15,1,0,0,0,0,17,27
Brett Connolly,WAS,RW,10,1,6,7,1,6,17,0,0,1,0,0,10,4
David Savard,CLS,D,11,1,2,3,3,6,16,0,0,0,0,0,9,18
Jaden Schwartz,STL,LW,8,1,3,4,-2,8,18,0,0,1,0,0,9,4
Riley Sheahan,PIT,C,10,1,1,2,-5,0,12,0,0,0,0,0,6,6
Tyler Pitlick,DAL,C,10,1,1,2,3,0,18,0,1,0,0,0,12,5
Gustav Nyquist,DET,RW,12,1,8,9,-6,2,27,1,0,4,0,0,6,5
Jori Lehtera,PHI,C,12,1,1,2,0,12,12,0,0,0,0,0,13,1
Justin Faulk,CAR,D,12,1,4,5,3,6,35,0,1,1,0,0,12,12
Tom Kuhnhackl,NYI,RW,4,1,0,1,2,2,2,0,0,0,0,0,12,6
Devante Smith-Pelly,WAS,RW,10,1,1,2,0,0,14,0,0,0,0,0,15,4
Ryan Spooner,NYR,C,11,1,1,2,-3,0,22,0,0,0,0,0,6,2
Jordan Weal,PHI,C,8,1,2,3,1,12,10,0,0,1,0,0,1,1
Carl Hagelin,PIT,LW,10,1,2,3,5,8,21,0,0,0,0,0,24,3
Darren Archibald,VAN,LW,1,1,0,1,0,0,1,0,0,0,0,0,1,0
Marcus Foligno,MIN,LW,12,1,1,2,0,7,7,0,0,0,0,0,38,10
Colton Sceviour,FLA,RW,9,1,0,1,-1,0,17,0,0,0,0,0,13,4
Phillip Danault,MON,C,11,1,4,5,5,2,15,0,0,0,0,0,11,7
Scott Mayfield,NYI,D,9,1,4,5,4,18,9,0,0,0,0,0,14,14
Nathan Beaulieu,BUF,D,8,1,0,1,3,9,9,0,0,0,0,0,8,4
Jesper Fast,NYR,RW,12,1,4,5,-2,6,25,0,0,0,0,0,23,12
Darnell Nurse,EDM,D,11,1,4,5,-1,6,31,1,0,0,0,0,16,17
Ryan Pulock,NYI,D,11,1,4,5,0,2,21,1,0,1,0,0,14,18
Brendan Leipsic,VAN,LW,6,1,1,2,-7,2,12,1,0,0,0,0,4,1
Mike Reilly,MON,D,11,1,2,3,3,0,22,0,1,0,0,0,9,12
Seth Jones,CLS,D,4,1,0,1,0,0,13,0,0,0,0,0,2,8
Gemel Smith,DAL,C,4,1,0,1,-2,0,4,0,0,0,0,0,6,0
Jake McCabe,BUF,D,11,1,6,7,2,8,11,0,0,0,0,0,18,18
Brock McGinn,CAR,LW,12,1,0,1,-3,2,19,0,0,0,0,0,23,6
Colton Sissons,NSH,RW,12,1,2,3,8,7,9,1,0,0,0,1,13,9
Adam Pelech,NYI,D,10,1,2,3,2,0,14,0,0,0,0,0,12,19
John Hayden,CHI,C,8,1,0,1,-5,2,7,0,0,0,0,0,9,7
Oliver Bjorkstrand,CLS,RW,11,1,2,3,-3,0,18,0,0,0,0,0,7,2
Sven Andrighetto,COL,RW,6,1,0,1,2,0,12,0,0,0,0,0,4,7
Shea Theodore,VGK,D,12,1,2,3,-7,2,35,0,0,1,0,1,6,10
Adam Erne,TB,LW,6,1,2,3,-3,4,7,0,1,0,0,0,7,3
Andre Burakovsky,WAS,LW,10,1,0,1,-6,0,14,0,0,0,0,0,5,4
Artturi Lehkonen,MON,LW,11,1,6,7,4,4,24,0,0,0,0,0,7,7
Josh Morrissey,WPG,D,13,1,6,7,1,4,18,0,1,2,0,0,17,24
Rasmus Ristolainen,BUF,D,12,1,3,4,-10,6,27,1,1,2,0,0,34,21
Zac Rinaldo,NSH,C,12,1,0,1,1,15,7,1,0,0,0,0,28,4
Stefan Noesen,NJ,C,9,1,1,2,-4,8,15,0,0,0,0,0,18,4
Ty Rattie,EDM,RW,5,1,1,2,3,0,11,0,0,0,0,0,5,1
Vladislav Namestnikov,NYR,C,11,1,2,3,-6,2,15,0,0,0,0,0,9,7
Miikka Salomaki,NSH,RW,7,1,0,1,1,2,6,0,0,0,0,0,10,3
Joel Edmundson,STL,D,8,1,2,3,5,8,15,0,0,0,0,0,21,19
Josh Leivo,TOR,LW,12,1,2,3,-4,7,15,1,1,1,0,0,13,4
Brandon Manning,CHI,D,11,1,1,2,-4,5,5,0,0,0,0,0,18,10
Robert Bortuzzo,STL,D,5,1,0,1,-1,2,3,0,0,0,0,0,10,9
Andrew Shaw,MON,C,7,1,1,2,-3,16,10,0,1,0,0,0,10,3
Jordie Benn,MON,D,11,1,0,1,1,11,8,0,0,0,0,0,25,18
Brenden Dillon,SJ,D,12,1,0,1,-2,6,12,0,0,0,1,0,25,9
Alex Galchenyuk,ARI,RW,4,1,3,4,4,0,9,0,0,1,0,0,4,0
Jacob Trouba,WPG,D,13,1,6,7,1,16,23,1,0,0,0,0,21,25
Chris Wagner,BOS,RW,11,1,1,2,-3,6,20,0,0,0,0,0,29,3
Brendan Gaunce,VAN,C,1,1,1,2,3,0,1,1,0,0,0,0,2,0
Brady Skjei,NYR,D,12,1,4,5,0,6,17,1,0,0,0,0,32,22
Mike Matheson,FLA,D,8,1,1,2,-2,6,14,0,0,0,0,0,5,9
Austin Czarnik,CGY,C,8,1,2,3,-1,0,15,0,0,0,0,0,0,4
Bryan Rust,PIT,RW,10,1,2,3,-2,2,17,0,0,0,0,0,15,6
Kevin Labanc,SJ,RW,12,1,6,7,-2,8,27,1,0,2,0,0,16,1
Barclay Goodrow,SJ,LW,12,1,0,1,-1,7,10,0,0,0,1,0,5,7
Nic Dowd,WAS,C,10,1,1,2,1,2,10,0,0,0,0,0,14,7
Rourke Chartier,SJ,C,8,1,0,1,-2,0,16,0,0,0,0,0,9,0
Anders Bjork,BOS,C,10,1,1,2,3,0,9,0,0,0,0,0,4,7
Pierre-Edouard Bellemare,VGK,C,12,1,1,2,-2,0,14,0,0,0,1,0,12,3
Erik Gustafsson,CHI,D,13,1,5,6,-1,6,24,0,0,1,0,0,9,22
Mathew Barzal,NYI,C,11,1,11,12,-7,8,12,0,0,7,0,0,1,5
Ivan Provorov,PHI,D,12,1,3,4,-7,4,18,0,0,0,0,0,22,25
Jordan Greenway,MIN,LW,11,1,1,2,-5,6,11,0,0,0,0,0,11,1
Anthony Beauvillier,NYI,LW,10,1,0,1,-6,0,16,1,0,0,0,0,6,6
Brandon Montour,ANH,D,13,1,2,3,-4,10,19,1,0,0,0,0,18,24
Ryan Donato,BOS,C,11,1,0,1,-4,2,12,0,1,0,0,0,3,4
Tomas Nosek,VGK,LW,10,1,0,1,-7,2,18,0,0,0,0,0,10,3
Anthony DeAngelo,NYR,D,4,1,3,4,4,6,5,0,0,1,0,0,3,3
Michael Amadio,LA,C,9,1,0,1,-5,2,7,0,0,0,0,0,2,2
Dylan DeMelo,OTT,D,11,1,4,5,6,10,12,0,0,0,0,0,14,21
Andrew Copp,WPG,C,13,1,1,2,2,2,11,0,0,0,0,0,19,8
Sam Reinhart,BUF,C,12,1,5,6,-7,2,23,0,0,4,0,0,3,11
Jared McCann,FLA,C,10,1,2,3,-2,0,16,0,0,0,0,0,15,3
Ivan Barbashev,STL,LW,10,1,2,3,-2,5,5,0,0,0,1,0,14,4
Sonny Milano,CLS,LW,8,1,0,1,0,0,5,0,0,0,0,0,5,0
Adrian Kempe,LA,C,11,1,1,2,-3,16,21,1,0,0,0,0,11,3
Nick Schmaltz,CHI,RW,13,1,6,7,-5,6,19,0,1,0,0,0,4,5
Nikolay Goldobin,VAN,RW,14,1,3,4,-2,6,25,0,0,0,0,0,3,5
Connor Brown,TOR,RW,12,1,3,4,-3,4,17,0,0,1,0,0,11,8
Mattias Janmark,DAL,C,11,1,0,1,-7,4,19,0,0,0,0,0,3,5
Connor Carrick,DAL,D,9,1,3,4,-5,2,13,0,0,0,0,0,4,8
Luke Glendening,DET,RW,12,1,3,4,1,6,6,0,0,0,0,0,18,15
Josh Manson,ANH,D,12,1,2,3,7,16,18,0,0,0,0,0,35,14
Jordan Oesterle,ARI,D,8,1,3,4,1,0,6,0,0,2,0,0,8,17
Cedric Paquette,TB,C,11,1,1,2,-4,15,14,0,0,0,0,0,25,9
Chandler Stephenson,WAS,RW,10,1,1,2,-5,0,8,0,0,0,0,0,7,6
Shayne Gostisbehere,PHI,D,12,1,4,5,-9,2,33,0,1,3,0,0,11,24
Esa Lindell,DAL,D,11,1,5,6,2,8,17,0,1,0,0,0,20,16
Brendan Perlini,ARI,LW,11,1,2,3,2,2,16,0,1,0,0,0,4,3
Kevin Fiala,NSH,LW,12,1,4,5,-4,6,24,0,1,0,0,0,2,3
Nikolaj Ehlers,WPG,LW,13,1,3,4,-7,7,29,0,0,1,0,0,10,4
Haydn Fleury,CAR,D,1,0,0,0,2,0,1,0,0,0,0,0,0,1
Nick Ritchie,ANH,LW,2,0,1,1,1,2,3,0,0,0,0,0,4,2
Aaron Ekblad,FLA,D,10,0,2,2,0,8,25,0,0,1,0,0,15,3
Christian Folin,PHI,D,7,0,1,1,2,4,7,0,0,0,0,0,21,16
Ryan Carpenter,VGK,C,11,0,2,2,-7,2,16,0,0,0,0,0,25,1
Justin Dowling,DAL,C,4,0,1,1,-1,0,3,0,0,0,0,0,3,2
Brandon Davidson,CHI,D,4,0,1,1,-2,0,3,0,0,0,0,0,5,5
Kevan Miller,BOS,D,7,0,1,1,5,7,9,0,0,0,0,0,14,12
Will Butcher,NJ,D,9,0,5,5,-2,0,10,0,0,5,0,0,4,10
Jaccob Slavin,CAR,D,12,0,4,4,-1,2,27,0,0,0,0,1,6,21
John Quenneville,NJ,C,5,0,0,0,2,0,3,0,0,0,0,0,7,3
Brendan Lemieux,WPG,LW,8,0,0,0,0,10,5,0,0,0,0,0,8,3
Marcus Pettersson,ANH,D,12,0,1,1,0,11,4,0,0,0,0,0,7,12
Travis Sanheim,PHI,D,12,0,5,5,-1,4,21,0,0,1,0,0,6,7
Julius Honka,DAL,D,8,0,1,1,0,6,13,0,0,0,0,0,2,10
Joe Hicketts,DET,D,8,0,0,0,-6,0,9,0,0,0,0,0,15,13
Danton Heinen,BOS,C,10,0,3,3,3,6,10,0,0,0,0,0,7,3
Nathan Walker,WAS,C,3,0,1,1,1,2,2,0,0,0,0,0,5,0
Vladislav Kamenev,COL,C,7,0,1,1,1,2,6,0,0,0,0,0,9,3
Nicolas Aube-Kubel,PHI,C,1,0,0,0,0,0,1,0,0,0,0,0,4,0
Oskar Sundqvist,STL,C,2,0,1,1,0,2,2,0,0,0,0,0,4,1
Max McCormick,OTT,LW,4,0,0,0,-1,0,4,0,0,0,0,0,5,1
Juho Lammikko,FLA,RW,9,0,0,0,-2,2,8,0,0,0,0,0,6,6
Austin Wagner,LA,LW,7,0,0,0,-5,2,8,0,0,0,0,0,15,1
Travis Dermott,TOR,D,9,0,1,1,-5,2,10,0,0,0,0,0,14,7
Roope Hintz,DAL,LW,5,0,0,0,0,4,7,0,0,0,0,0,5,9
Gabriel Carlsson,CLS,D,1,0,0,0,-1,2,1,0,0,0,0,0,0,0
Jacob Larsson,ANH,D,2,0,0,0,-2,0,4,0,0,0,0,0,1,0
Rasmus Andersson,CGY,D,11,0,1,1,2,0,19,0,0,0,0,0,12,16
Jack Roslovic,WPG,RW,13,0,2,2,1,2,6,0,0,0,0,0,5,3
Dean Kukan,CLS,D,5,0,0,0,-1,4,3,0,0,0,0,0,3,6
Noel Acciari,BOS,C,12,0,0,0,-6,9,14,0,0,0,0,0,26,7
Andreas Johnsson,TOR,LW,7,0,1,1,-1,6,6,0,0,1,0,0,4,1
Jeremy Lauzon,BOS,D,3,0,0,0,0,2,0,0,0,0,0,0,3,1
Nicolas Roy,CAR,C,3,0,0,0,0,0,1,0,0,0,0,0,4,0
Noah Juulsen,MON,D,9,0,1,1,9,2,6,0,0,0,0,0,28,17
Pavel Zacha,NJ,C,9,0,0,0,-2,7,9,0,0,0,0,0,9,2
Brandon Carlo,BOS,D,12,0,2,2,3,6,16,0,0,0,0,0,28,14
Daniel Sprong,PIT,RW,9,0,4,4,-3,0,10,0,0,1,0,0,7,4
Clark Bishop,CAR,C,2,0,0,0,0,0,1,0,0,0,0,0,3,0
Melker Karlsson,SJ,C,12,0,1,1,-1,8,17,0,0,0,0,0,9,9
Tim Schaller,VAN,C,12,0,3,3,0,0,11,0,0,0,0,0,23,5
Josh Archibald,ARI,RW,6,0,0,0,0,0,7,0,0,0,0,0,9,5
Frederick Gaudreau,NSH,C,3,0,0,0,-1,0,0,0,0,0,0,0,1,0
Kevin Gravel,EDM,D,2,0,0,0,-2,0,1,0,0,0,0,0,0,4
Christian Djoos,WAS,D,9,0,2,2,1,2,6,0,0,0,0,0,6,5
Samuel Blais,STL,LW,8,0,0,0,-3,0,8,0,0,0,0,0,26,4
MacKenzie Weegar,FLA,D,7,0,1,1,0,4,10,0,0,0,0,0,8,11
Trevor van Riemsdyk,CAR,D,11,0,2,2,0,0,17,0,0,0,0,0,8,12
Ben Harpur,OTT,D,3,0,0,0,3,0,3,0,0,0,0,0,6,3
Ross Johnston,NYI,LW,1,0,1,1,1,0,0,0,0,0,0,0,1,1
Joseph Blandisi,ANH,C,3,0,0,0,-1,6,1,0,0,0,0,0,4,0
Matthew Peca,MON,C,10,0,3,3,-1,4,11,0,0,0,0,0,10,7
Fredrik Claesson,NYR,D,4,0,0,0,1,5,7,0,0,0,0,0,12,3
Markus Hannikainen,CLS,RW,3,0,2,2,0,0,5,0,0,0,0,0,1,0
Evan Rodrigues,BUF,C,10,0,4,4,-1,4,18,0,0,1,0,0,0,8
Noah Hanifin,CGY,D,13,0,2,2,2,4,25,0,0,0,0,0,18,16
Joakim Ryan,SJ,D,12,0,1,1,5,7,7,0,0,0,0,0,10,10
Phil Di Giuseppe,CAR,LW,2,0,0,0,-2,4,1,0,0,0,0,0,4,0
Jordan Schmaltz,STL,D,8,0,1,1,0,2,8,0,0,0,0,0,5,9
Tanner Pearson,LA,LW,11,0,1,1,-5,6,18,0,0,0,0,0,15,2
Mark Jankowski,CGY,C,10,0,2,2,-3,4,14,0,0,0,0,0,5,5
Tomas Hyka,VGK,RW,7,0,0,0,0,2,11,0,0,0,0,0,4,4
Olli Maatta,PIT,D,9,0,2,2,5,2,5,0,0,1,0,0,15,16
Zemgus Girgensons,BUF,C,12,0,3,3,0,0,13,0,0,0,0,0,18,6
Derrick Pouliot,VAN,D,14,0,2,2,2,8,12,0,0,0,0,0,22,15
Paul Carey,OTT,RW,5,0,0,0,0,0,1,0,0,0,0,0,2,2
Ryan Murray,CLS,D,11,0,6,6,-3,0,14,0,0,1,0,0,3,17
Cody Ceci,OTT,D,7,0,2,2,-6,2,12,0,0,0,0,0,11,17
Dalton Prout,CGY,D,1,0,0,0,0,2,1,0,0,0,0,0,2,2
Torey Krug,BOS,D,1,0,1,1,1,0,0,0,0,1,0,0,0,0
Anthony Bitetto,NSH,D,4,0,1,1,1,0,5,0,0,0,0,0,9,2
J.T. Brown,MIN,RW,9,0,1,1,-2,8,8,0,0,0,0,0,11,1
Gabriel Bourque,COL,LW,11,0,1,1,0,2,6,0,0,0,0,0,21,15
Matt Read,MIN,RW,5,0,0,0,0,2,6,0,0,0,0,0,4,3
Ondrej Palat,TB,LW,9,0,5,5,3,4,10,0,0,2,0,0,14,3
Cory Conacher,TB,LW,1,0,0,0,0,2,1,0,0,0,0,0,0,0
Patrick Maroon,STL,LW,10,0,6,6,-6,7,20,0,0,5,0,0,21,2
Andy Welinski,ANH,D,2,0,1,1,1,0,3,0,0,0,0,0,6,3
Scott Harrington,CLS,D,8,0,4,4,3,0,5,0,0,0,0,0,2,7
Nick Cousins,ARI,C,11,0,4,4,1,4,27,0,0,0,0,0,14,6
Xavier Ouellet,MON,D,11,0,3,3,-2,7,21,0,0,0,0,0,22,18
Sami Vatanen,NJ,D,9,0,5,5,3,4,27,0,0,1,0,0,18,21
Adam Clendening,CLS,D,4,0,0,0,1,0,3,0,0,0,0,0,1,3
Brett Ritchie,DAL,RW,9,0,1,1,-2,9,7,0,0,0,0,0,17,3
Oscar Klefbom,EDM,D,11,0,5,5,3,2,37,0,0,2,0,0,10,17
Joe Morrow,WPG,D,10,0,0,0,-3,0,11,0,0,0,0,0,10,8
Jacob De La Rose,DET,C,3,0,0,0,-1,0,1,0,0,0,0,0,4,0
Frederik Gauthier,TOR,C,9,0,0,0,2,2,8,0,0,0,0,0,14,2
Valentin Zykov,CAR,RW,10,0,3,3,0,0,12,0,0,2,0,0,6,2
Mirco Mueller,NJ,D,9,0,5,5,-1,0,8,0,0,0,0,0,7,10
Nikita Zadorov,COL,D,12,0,1,1,-1,17,10,0,0,0,0,0,24,9
Valeri Nichushkin,DAL,LW,6,0,1,1,-1,0,11,0,0,0,0,0,2,3
Remi Elie,BUF,LW,3,0,0,0,0,0,0,0,0,0,0,0,4,1
Steve Santini,NJ,D,1,0,0,0,0,0,0,0,0,0,0,0,1,0
William Carrier,VGK,LW,12,0,1,1,-4,4,21,0,0,0,0,0,59,5
Marko Dano,COL,C,4,0,0,0,0,7,2,0,0,0,0,0,9,1
Madison Bowey,WAS,D,3,0,0,0,2,9,1,0,0,0,0,0,4,5
Michael Raffl,PHI,LW,9,0,2,2,0,4,5,0,0,0,0,0,16,5
Corban Knight,PHI,C,3,0,0,0,0,0,2,0,0,0,0,0,3,1
Brad Hunt,VGK,D,3,0,1,1,1,0,9,0,0,1,0,0,2,1
Colin Miller,VGK,D,12,0,2,2,-4,6,26,0,0,1,0,0,16,16
Matt Grzelcyk,BOS,D,11,0,5,5,-1,2,6,0,0,3,0,0,6,9
Jujhar Khaira,EDM,C,10,0,1,1,-1,7,5,0,0,0,0,0,14,4
Slater Koekkoek,TB,D,2,0,0,0,-1,2,4,0,0,0,0,0,5,4
Martin Frk,DET,RW,3,0,0,0,0,2,1,0,0,0,0,0,7,1
Alex Biega,VAN,D,4,0,2,2,0,2,14,0,0,1,0,0,7,0
Alexander Wennberg,CLS,C,11,0,5,5,2,6,10,0,0,1,0,0,1,4
Danny DeKeyser,DET,D,5,0,1,1,0,11,6,0,0,0,0,0,8,8
Luke Witkowski,DET,D,2,0,0,0,1,0,2,0,0,0,0,0,3,3
Lukas Sedlak,CLS,C,9,0,0,0,-1,6,10,0,0,0,0,0,7,1
Chad Ruhwedel,PIT,D,3,0,0,0,-3,0,2,0,0,0,0,0,6,2
Tobias Rieder,EDM,RW,11,0,5,5,1,2,19,0,0,1,0,0,12,7
Radko Gudas,PHI,D,11,0,5,5,4,4,15,0,0,0,0,0,26,18
Andrej Sustr,ANH,D,4,0,0,0,1,6,6,0,0,0,0,0,2,7
Rocco Grimaldi,NSH,C,2,0,0,0,-1,0,2,0,0,0,0,0,2,0
Dmitrij Jaskin,WAS,RW,7,0,1,1,-2,0,4,0,0,0,0,0,15,2
Adam Larsson,EDM,D,11,0,3,3,3,6,12,0,0,0,0,0,36,21
Ryan Strome,EDM,C,11,0,0,0,-1,10,14,0,0,0,0,0,18,3
Matt Irwin,NSH,D,1,0,0,0,1,0,0,0,0,0,0,0,3,1
Derek Grant,PIT,C,3,0,0,0,0,0,2,0,0,0,0,0,6,1
Mark Borowiecki,OTT,D,9,0,0,0,-4,26,8,0,0,0,0,0,33,14
Stephen Gionta,NYI,C,1,0,0,0,-1,0,1,0,0,0,0,0,3,0
Jake Muzzin,LA,D,11,0,3,3,-4,11,14,0,0,0,0,0,17,20
Brian Gibbons,ANH,C,10,0,0,0,-3,2,9,0,0,0,0,0,11,5
Patrik Nemeth,COL,D,9,0,1,1,2,4,6,0,0,0,0,0,16,15
Johan Larsson,BUF,C,6,0,1,1,-2,2,4,0,0,0,0,0,7,5
Oscar Lindberg,VGK,C,6,0,0,0,-3,2,7,0,0,0,0,0,7,2
Anthony Peluso,CGY,RW,2,0,0,0,0,0,1,0,0,0,0,0,2,0
Alex Petrovic,FLA,D,10,0,1,1,1,18,21,0,0,0,0,0,33,21
Derek Forbort,LA,D,10,0,2,2,0,6,4,0,0,0,0,0,10,15
Jon Merrill,VGK,D,12,0,1,1,0,21,13,0,0,0,0,0,7,13
Martin Marincin,TOR,D,5,0,0,0,0,2,3,0,0,0,0,0,5,5
Mark Pysyk,FLA,D,5,0,2,2,-1,0,6,0,0,0,0,0,9,6
Dale Weise,PHI,RW,9,0,2,2,1,4,10,0,0,0,0,0,21,3
Eric Gryba,NJ,D,2,0,0,0,-1,2,0,0,0,0,0,0,1,6
Erik Gudbranson,VAN,D,14,0,2,2,-2,27,17,0,0,0,0,0,28,16
Nino Niederreiter,MIN,RW,12,0,5,5,-3,2,22,0,0,1,0,0,15,3
Chris Tanev,VAN,D,10,0,3,3,-4,4,11,0,0,0,0,0,6,24
Cam Fowler,ANH,D,13,0,5,5,0,8,24,0,0,1,0,0,3,38
Tom Pyatt,OTT,C,11,0,0,0,-4,0,8,0,0,0,0,0,8,19
Deryk Engelland,VGK,D,9,0,0,0,-5,2,14,0,0,0,0,0,12,16
Steve Kampfer,BOS,D,5,0,1,1,0,4,5,0,0,1,0,0,7,5
Matt Calvert,COL,LW,12,0,2,2,-2,13,21,0,0,1,0,0,18,9
Nate Prosser,MIN,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Braun,SJ,D,12,0,3,3,5,8,14,0,0,1,0,0,16,19
Nick Bonino,NSH,C,12,0,2,2,6,4,7,0,0,0,0,0,1,11
Tyson Barrie,COL,D,12,0,9,9,5,4,27,0,0,5,0,0,3,8
Kevin Connauton,ARI,D,10,0,2,2,8,8,24,0,0,0,0,1,23,10
Nicolas Deslauriers,MON,LW,5,0,0,0,-1,4,3,0,0,0,0,0,21,2
Brayden McNabb,VGK,D,12,0,0,0,-1,4,11,0,0,0,0,0,34,17
Dmitry Orlov,WAS,D,10,0,1,1,-7,2,15,0,0,0,0,0,20,13
Brian Dumoulin,PIT,D,10,0,5,5,8,2,8,0,0,0,0,0,14,14
Erik Karlsson,SJ,D,12,0,7,7,-7,8,36,0,0,4,0,0,11,15
Justin Schultz,PIT,D,4,0,4,4,1,0,2,0,0,1,0,0,1,3
Michael Stone,CGY,D,10,0,4,4,-1,8,8,0,0,0,0,0,18,12
T.J. Brodie,CGY,D,13,0,4,4,3,4,17,0,0,0,0,0,0,15
Ben Lovejoy,NJ,D,6,0,1,1,3,4,3,0,0,0,0,0,3,10
Greg Pateryn,MIN,D,12,0,0,0,-2,12,11,0,0,0,0,0,14,21
Nick Holden,VGK,D,12,0,3,3,0,2,12,0,0,0,0,0,16,15
Jason Demers,ARI,D,11,0,2,2,2,6,13,0,0,0,0,0,12,7
Jay Beagle,VAN,C,5,0,1,1,1,2,3,0,0,0,0,0,7,6
Ryan Ellis,NSH,D,12,0,6,6,7,6,18,0,0,1,0,0,10,24
John Moore,BOS,D,12,0,1,1,7,8,19,0,0,0,0,0,19,14
Calvin de Haan,CAR,D,12,0,1,1,4,8,17,0,0,0,0,0,23,16
Dmitry Kulikov,WPG,D,5,0,1,1,0,4,3,0,0,0,0,0,5,3
Nick Leddy,NYI,D,11,0,3,3,-2,2,8,0,0,2,0,0,17,8
Magnus Paajarvi,OTT,LW,11,0,0,0,-1,0,14,0,0,0,0,0,5,11
Alexander Edler,VAN,D,10,0,5,5,-3,14,21,0,0,3,0,0,16,39
Dan Girardi,TB,D,11,0,3,3,-3,2,10,0,0,0,0,1,24,13
Marc Methot,DAL,D,8,0,0,0,-3,4,0,0,0,0,0,0,11,10
Andrew MacDonald,PHI,D,6,0,1,1,-2,8,6,0,0,0,0,0,9,11
James van Riemsdyk,PHI,LW,2,0,1,1,1,2,1,0,0,0,0,0,0,2
Karl Alzner,MON,D,4,0,0,0,1,0,5,0,0,0,0,0,7,3
Kris Russell,EDM,D,11,0,4,4,4,4,11,0,0,0,0,0,7,35
Andy Greene,NJ,D,9,0,2,2,1,4,9,0,0,0,0,0,8,25
Frans Nielsen,DET,C,11,0,6,6,-7,2,15,0,0,3,0,1,10,5
Erik Johnson,COL,D,12,0,6,6,8,7,27,0,0,0,0,0,15,15
Thomas Hickey,NYI,D,11,0,0,0,6,4,12,0,0,0,0,0,12,15
Kevin Shattenkirk,NYR,D,11,0,3,3,-3,0,22,0,0,1,0,0,7,21
Matt Hendricks,MIN,LW,5,0,0,0,0,7,3,0,0,0,0,0,6,2
Ian Cole,COL,D,12,0,3,3,3,10,13,0,0,0,0,0,12,39
Riley Nash,CLS,C,11,0,2,2,-1,2,10,0,0,0,0,0,10,7
Luke Schenn,ANH,D,7,0,0,0,-5,0,6,0,0,0,0,0,22,8
Michael Del Zotto,VAN,D,6,0,1,1,-1,2,3,0,0,0,0,0,26,5
Luca Sbisa,NYI,D,3,0,1,1,-1,2,0,0,0,0,0,0,2,1
Cody McLeod,NYR,LW,7,0,0,0,-4,14,11,0,0,0,0,0,23,4
Cal Clutterbuck,NYI,RW,9,0,1,1,1,14,9,0,0,0,0,0,22,6
Jason Garrison,EDM,D,6,0,0,0,-1,4,3,0,0,0,0,0,1,7
Niklas Hjalmarsson,ARI,D,11,0,1,1,7,0,9,0,0,0,0,1,4,18
Marc Staal,NYR,D,12,0,1,1,-3,6,15,0,0,0,0,0,13,13
Derek MacKenzie,FLA,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Stafford,NJ,RW,2,0,0,0,0,2,3,0,0,0,0,0,1,2
Mike Green,DET,D,3,0,2,2,-2,2,8,0,0,0,0,0,5,3
Kyle Brodziak,EDM,C,10,0,0,0,-5,0,8,0,0,0,0,0,11,11
Nate Thompson,LA,C,11,0,0,0,-5,2,9,0,0,0,0,0,14,11
Paul Stastny,VGK,C,3,0,0,0,0,6,10,0,0,0,0,0,2,2
Adam McQuaid,NYR,D,8,0,2,2,-2,4,3,0,0,0,0,1,18,12
Chris Thorburn,STL,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Marc-Edouard Vlasic,SJ,D,12,0,3,3,-1,0,26,0,0,0,0,0,5,18
Loui Eriksson,VAN,RW,14,0,4,4,-4,4,15,0,0,0,0,0,1,0
David Backes,BOS,RW,7,0,0,0,0,4,8,0,0,0,0,0,11,5
Niklas Kronwall,DET,D,9,0,2,2,-4,4,10,0,0,0,0,0,13,14
Duncan Keith,CHI,D,13,0,7,7,4,0,24,0,0,1,0,0,6,27
Dion Phaneuf,LA,D,11,0,0,0,-7,6,10,0,0,0,0,0,21,20
Joe Thornton,SJ,C,3,0,1,1,0,2,3,0,0,0,0,0,1,1
Dan Hamhuis,NSH,D,7,0,1,1,1,2,2,0,0,0,0,0,3,9
Jay Bouwmeester,STL,D,9,0,2,2,-5,10,7,0,0,0,0,0,3,14
Trevor Daley,DET,D,8,0,2,2,1,2,5,0,0,0,0,0,2,18
